01. Ano,02. Nome País (Europa),03. Filtro 1,04. Filtro 2,05. Filtro 3,06. Escala,07. Símbolo,08. Valor
1996,Países Baixos,Restaurantes e hotéis,,,,,57.68
1996,Países Baixos,Saúde,,,,,54.63
1996,Países Baixos,Total,,,,,68.83
1996,Países Baixos,Transportes,,,,,63.85
1996,Países Baixos,Vestuário e calçado,,,,,99.36
1996,Polónia,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,d,59.10
1996,Polónia,Bebidas alcoólicas e tabaco,,,,d,34.80
1996,Polónia,Bens e serviços diversos,,,,d,41.70
1996,Polónia,Comunicações,,,,d,81.80
1996,Polónia,Educação,,,,d,42.10
1996,Polónia,"Habitação, água, electricidade, gás e outros combustíveis",,,,d,30.90
1996,Polónia,"Lazer, recreação e cultura",,,,d,56.10
1996,Polónia,Produtos alimentares e bebidas não alcoólicas,,,,d,51.30
1996,Polónia,Restaurantes e hotéis,,,,d,38.90
1996,Polónia,Saúde,,,,d,39.60
1996,Polónia,Total,,,,d,46.20
1996,Polónia,Transportes,,,,d,43.00
1996,Polónia,Vestuário e calçado,,,,d,128.90
1996,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,76.04
1996,Portugal,Bebidas alcoólicas e tabaco,,,,,42.29
1996,Portugal,Bens e serviços diversos,,,,,62.86
1996,Portugal,Comunicações,,,,,112.75
1996,Portugal,Educação,,,,,48.37
1996,Portugal,"Habitação, água, electricidade, gás e outros combustíveis",,,,,51.49
1996,Portugal,"Lazer, recreação e cultura",,,,,89.44
1996,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,73.81
1996,Portugal,Restaurantes e hotéis,,,,,58.41
1996,Portugal,Saúde,,,,,65.84
1996,Portugal,Total,,,,,66.90
1996,Portugal,Transportes,,,,,57.94
1996,Portugal,Vestuário e calçado,,,,,118.41
1996,Roménia,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,6.33
1996,Roménia,Bebidas alcoólicas e tabaco,,,,,1.51
1996,Roménia,Bens e serviços diversos,,,,,3.35
1996,Roménia,Comunicações,,,,,1.43
1996,Roménia,Educação,,,,,0.80
1996,Roménia,"Habitação, água, electricidade, gás e outros combustíveis",,,,,1.05
1996,Roménia,"Lazer, recreação e cultura",,,,,4.35
1996,Roménia,Produtos alimentares e bebidas não alcoólicas,,,,,5.22
1996,Roménia,Restaurantes e hotéis,,,,,1.65
1996,Roménia,Saúde,,,,,4.60
1996,Roménia,Total,,,,,3.25
1996,Roménia,Transportes,,,,,2.48
1996,Roménia,Vestuário e calçado,,,,,5.81
1996,Suécia,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,99.38
